SectorID	Environment Type	Energy	SectorName	Perks
1	The Outer Wastes (Inhospitable)	Desperation	The Salt Grave	[🔍 Scavenge] + [🤢 Toxic Air]
2	The Outer Wastes (Inhospitable)	Desperation	Ash Barrens	[🔍 Scavenge] + [📉 Atrophy]
3	The Outer Wastes (Inhospitable)	Desperation	Dust-Eater’s Path	[⏳ Time Dilation] + [🤢 Toxic Air]
4	The Outer Wastes (Inhospitable)	Desperation	The Void-Step	[👻 Ghosting] + [📉 Atrophy]
5	The Outer Wastes (Inhospitable)	Desperation	Bone-Dry Basin	[🔍 Scavenge] + [💀 Exposed Status] (The "Naked" Desert)
6	The Outer Wastes (Inhospitable)	Desperation	Rust Ridge	[🔍 Scavenge] + [🤢 Toxic Air]
7	The Outer Wastes (Inhospitable)	Desperation	Cinder Flat	[⏳ Time Dilation] + [📉 Atrophy]
8	The Outer Wastes (Inhospitable)	Desperation	Hollow Echoes	[👻 Ghosting] + [🤢 Toxic Air]
9	The Scavenger's Rim (Waste/Wild)	Desperation	Scavenger’s Hook	[🌬️ Warp Flow] + [📉 Atrophy]
10	The Scavenger's Rim (Waste/Wild)	Desperation	Dead Sands	[🔍 Scavenge] + [🌀 Madness]
11	The Scavenger's Rim (Waste/Wild)	Desperation	Iron Shard Gully	[🌬️ Warp Flow] + [🤢 Toxic Air]
12	The Scavenger's Rim (Waste/Wild)	Desperation	Sulfur Sink	[👻 Ghosting] + [🌀 Madness] 
13	The Scavenger's Rim (Waste/Wild)	Desperation	Viper’s Coil	[🌬️ Warp Flow] + [📉 Atrophy]
14	The Scavenger's Rim (Waste/Wild)	Desperation	Razor Tangle	[🔍 Scavenge] + [🌀 Madness]
15	The Scavenger's Rim (Waste/Wild)	Desperation	Thirsty Wells	 [🌬️ Warp Flow] + [⏳ Time Dilation]
16	The Scavenger's Rim (Waste/Wild)	Desperation	The Drift	[👻 Ghosting] + [🤢 Toxic Air]
17	The Dangerous Wilds (High Aggression)	The Hunger	Shadow Tangle	[+15% Primal Instinct] + [💧 Bleed]
18	The Dangerous Wilds (High Aggression)	The Hunger	Wolf-Run Pass	[+10% Hunter’s Mark] + [💧 Bleed]
